"100001","EUR/USD","1.10001","1.20001","01-06-2020 12:01:01:001"
"100002","EUR/USD","1.10002","1.20002","01-06-2020 12:01:01:002"
"100003","EUR/USD","1.10003","1.20003","01-06-2020 12:01:01:003"
"100004","EUR/USD","1.10004","1.20004","01-06-2020 12:01:01:004"
"100005","EUR/USD","1.10005","1.20005","01-06-2020 12:01:01:005"
"100006","EUR/USD","1.10006","1.20006","01-06-2020 12:01:01:006"
"100007","EUR/USD","1.10007","1.20007","01-06-2020 12:01:01:007"
"100008","EUR/USD","1.10008","1.20008","01-06-2020 12:01:01:008"
"100009","EUR/USD","1.10009","1.20009","01-06-2020 12:01:01:009"
"100010","EUR/USD","1.1001","1.2001","01-06-2020 12:01:01:010"
"100011","EUR/USD","1.10011","1.20011","01-06-2020 12:01:01:011"
"100012","EUR/USD","1.10012","1.20012","01-06-2020 12:01:01:012"
"100013","EUR/USD","1.10013","1.20013","01-06-2020 12:01:01:013"
"100014","EUR/USD","1.10014","1.20014","01-06-2020 12:01:01:014"
"100015","EUR/USD","1.10015","1.20015","01-06-2020 12:01:01:015"
"100016","EUR/USD","1.10016","1.20016","01-06-2020 12:01:01:016"
"100017","EUR/USD","1.10017","1.20017","01-06-2020 12:01:01:017"
"100018","EUR/USD","1.10018","1.20018","01-06-2020 12:01:01:018"
"100019","EUR/USD","1.10019","1.20019","01-06-2020 12:01:01:019"
"100020","EUR/USD","1.1002","1.2002","01-06-2020 12:01:01:020"
"100021","EUR/USD","1.10021","1.20021","01-06-2020 12:01:01:021"
"100022","EUR/USD","1.10022","1.20022","01-06-2020 12:01:01:022"
"100023","EUR/USD","1.10023","1.20023","01-06-2020 12:01:01:023"
"100024","EUR/USD","1.10024","1.20024","01-06-2020 12:01:01:024"
"100025","EUR/USD","1.10025","1.20025","01-06-2020 12:01:01:025"
"100026","EUR/USD","1.10026","1.20026","01-06-2020 12:01:01:026"
"100027","EUR/USD","1.10027","1.20027","01-06-2020 12:01:01:027"
"100028","EUR/USD","1.10028","1.20028","01-06-2020 12:01:01:028"
"100029","EUR/USD","1.10029","1.20029","01-06-2020 12:01:01:029"
"100030","EUR/USD","1.1003","1.2003","01-06-2020 12:01:01:030"
"100031","EUR/USD","1.10031","1.20031","01-06-2020 12:01:01:031"
"100032","EUR/USD","1.10032","1.20032","01-06-2020 12:01:01:032"
"100033","EUR/USD","1.10033","1.20033","01-06-2020 12:01:01:033"
"100034","EUR/USD","1.10034","1.20034","01-06-2020 12:01:01:034"
"100035","EUR/USD","1.10035","1.20035","01-06-2020 12:01:01:035"
"100036","EUR/USD","1.10036","1.20036","01-06-2020 12:01:01:036"
"100037","EUR/USD","1.10037","1.20037","01-06-2020 12:01:01:037"
"100038","EUR/USD","1.10038","1.20038","01-06-2020 12:01:01:038"
"100039","EUR/USD","1.10039","1.20039","01-06-2020 12:01:01:039"
"100040","EUR/USD","1.1004","1.2004","01-06-2020 12:01:01:040"
"100041","EUR/USD","1.10041","1.20041","01-06-2020 12:01:01:041"
"100042","EUR/USD","1.10042","1.20042","01-06-2020 12:01:01:042"
"100043","EUR/USD","1.10043","1.20043","01-06-2020 12:01:01:043"
"100044","EUR/USD","1.10044","1.20044","01-06-2020 12:01:01:044"
"100045","EUR/USD","1.10045","1.20045","01-06-2020 12:01:01:045"
"100046","EUR/USD","1.10046","1.20046","01-06-2020 12:01:01:046"
"100047","EUR/USD","1.10047","1.20047","01-06-2020 12:01:01:047"
"100048","EUR/USD","1.10048","1.20048","01-06-2020 12:01:01:048"
"100049","EUR/USD","1.10049","1.20049","01-06-2020 12:01:01:049"
"100050","EUR/USD","1.1005","1.2005","01-06-2020 12:01:01:050"
"100051","EUR/USD","1.10051","1.20051","01-06-2020 12:01:01:051"
"100052","EUR/USD","1.10052","1.20052","01-06-2020 12:01:01:052"
"100053","EUR/USD","1.10053","1.20053","01-06-2020 12:01:01:053"
"100054","EUR/USD","1.10054","1.20054","01-06-2020 12:01:01:054"
"100055","EUR/USD","1.10055","1.20055","01-06-2020 12:01:01:055"
"100056","EUR/USD","1.10056","1.20056","01-06-2020 12:01:01:056"
"100057","EUR/USD","1.10057","1.20057","01-06-2020 12:01:01:057"
"100058","EUR/USD","1.10058","1.20058","01-06-2020 12:01:01:058"
"100059","EUR/USD","1.10059","1.20059","01-06-2020 12:01:01:059"
"100060","EUR/USD","1.1006","1.2006","01-06-2020 12:01:01:060"
"100061","EUR/USD","1.10061","1.20061","01-06-2020 12:01:01:061"
"100062","EUR/USD","1.10062","1.20062","01-06-2020 12:01:01:062"
"100063","EUR/USD","1.10063","1.20063","01-06-2020 12:01:01:063"
"100064","EUR/USD","1.10064","1.20064","01-06-2020 12:01:01:064"
"100065","EUR/USD","1.10065","1.20065","01-06-2020 12:01:01:065"
"100066","EUR/USD","1.10066","1.20066","01-06-2020 12:01:01:066"
"100067","EUR/USD","1.10067","1.20067","01-06-2020 12:01:01:067"
"100068","EUR/USD","1.10068","1.20068","01-06-2020 12:01:01:068"
"100069","EUR/USD","1.10069","1.20069","01-06-2020 12:01:01:069"
"100070","EUR/USD","1.1007","1.2007","01-06-2020 12:01:01:070"
"100071","EUR/USD","1.10071","1.20071","01-06-2020 12:01:01:071"
"100072","EUR/USD","1.10072","1.20072","01-06-2020 12:01:01:072"
"100073","EUR/USD","1.10073","1.20073","01-06-2020 12:01:01:073"
"100074","EUR/USD","1.10074","1.20074","01-06-2020 12:01:01:074"
"100075","EUR/USD","1.10075","1.20075","01-06-2020 12:01:01:075"
"100076","EUR/USD","1.10076","1.20076","01-06-2020 12:01:01:076"
"100077","EUR/USD","1.10077","1.20077","01-06-2020 12:01:01:077"
"100078","EUR/USD","1.10078","1.20078","01-06-2020 12:01:01:078"
"100079","EUR/USD","1.10079","1.20079","01-06-2020 12:01:01:079"
"100080","EUR/USD","1.1008","1.2008","01-06-2020 12:01:01:080"
"100081","EUR/USD","1.10081","1.20081","01-06-2020 12:01:01:081"
"100082","EUR/USD","1.10082","1.20082","01-06-2020 12:01:01:082"
"100083","EUR/USD","1.10083","1.20083","01-06-2020 12:01:01:083"
"100084","EUR/USD","1.10084","1.20084","01-06-2020 12:01:01:084"
"100085","EUR/USD","1.10085","1.20085","01-06-2020 12:01:01:085"
"100086","EUR/USD","1.10086","1.20086","01-06-2020 12:01:01:086"
"100087","EUR/USD","1.10087","1.20087","01-06-2020 12:01:01:087"
"100088","EUR/USD","1.10088","1.20088","01-06-2020 12:01:01:088"
"100089","EUR/USD","1.10089","1.20089","01-06-2020 12:01:01:089"
"100090","EUR/USD","1.1009","1.2009","01-06-2020 12:01:01:090"
"100091","EUR/USD","1.10091","1.20091","01-06-2020 12:01:01:091"
"100092","EUR/USD","1.10092","1.20092","01-06-2020 12:01:01:092"
"100093","EUR/USD","1.10093","1.20093","01-06-2020 12:01:01:093"
"100094","EUR/USD","1.10094","1.20094","01-06-2020 12:01:01:094"
"100095","EUR/USD","1.10095","1.20095","01-06-2020 12:01:01:095"
"100096","EUR/USD","1.10096","1.20096","01-06-2020 12:01:01:096"
"100097","EUR/USD","1.10097","1.20097","01-06-2020 12:01:01:097"
"100098","EUR/USD","1.10098","1.20098","01-06-2020 12:01:01:098"
"100099","EUR/USD","1.10099","1.20099","01-06-2020 12:01:01:099"
"100100","EUR/USD","1.101","1.201","01-06-2020 12:01:01:100"
"100101","EUR/USD","1.10101","1.20101","01-06-2020 12:01:01:101"
"100102","EUR/USD","1.10102","1.20102","01-06-2020 12:01:01:102"
"100103","EUR/USD","1.10103","1.20103","01-06-2020 12:01:01:103"
"100104","EUR/USD","1.10104","1.20104","01-06-2020 12:01:01:104"
"100105","EUR/USD","1.10105","1.20105","01-06-2020 12:01:01:105"
"100106","EUR/USD","1.10106","1.20106","01-06-2020 12:01:01:106"
"100107","EUR/USD","1.10107","1.20107","01-06-2020 12:01:01:107"
"100108","EUR/USD","1.10108","1.20108","01-06-2020 12:01:01:108"
"100109","EUR/USD","1.10109","1.20109","01-06-2020 12:01:01:109"
"100110","EUR/USD","1.1011","1.2011","01-06-2020 12:01:01:110"
"100111","EUR/USD","1.10111","1.20111","01-06-2020 12:01:01:111"
"100112","EUR/USD","1.10112","1.20112","01-06-2020 12:01:01:112"
"100113","EUR/USD","1.10113","1.20113","01-06-2020 12:01:01:113"
"100114","EUR/USD","1.10114","1.20114","01-06-2020 12:01:01:114"
"100115","EUR/USD","1.10115","1.20115","01-06-2020 12:01:01:115"
"100116","EUR/USD","1.10116","1.20116","01-06-2020 12:01:01:116"
"100117","EUR/USD","1.10117","1.20117","01-06-2020 12:01:01:117"
"100118","EUR/USD","1.10118","1.20118","01-06-2020 12:01:01:118"
"100119","EUR/USD","1.10119","1.20119","01-06-2020 12:01:01:119"
"100120","EUR/USD","1.1012","1.2012","01-06-2020 12:01:01:120"
"100121","EUR/USD","1.10121","1.20121","01-06-2020 12:01:01:121"
"100122","EUR/USD","1.10122","1.20122","01-06-2020 12:01:01:122"
"100123","EUR/USD","1.10123","1.20123","01-06-2020 12:01:01:123"
"100124","EUR/USD","1.10124","1.20124","01-06-2020 12:01:01:124"
"100125","EUR/USD","1.10125","1.20125","01-06-2020 12:01:01:125"
"100126","EUR/USD","1.10126","1.20126","01-06-2020 12:01:01:126"
"100127","EUR/USD","1.10127","1.20127","01-06-2020 12:01:01:127"
"100128","EUR/USD","1.10128","1.20128","01-06-2020 12:01:01:128"
"100129","EUR/USD","1.10129","1.20129","01-06-2020 12:01:01:129"
"100130","EUR/USD","1.1013","1.2013","01-06-2020 12:01:01:130"
"100131","EUR/USD","1.10131","1.20131","01-06-2020 12:01:01:131"
"100132","EUR/USD","1.10132","1.20132","01-06-2020 12:01:01:132"
"100133","EUR/USD","1.10133","1.20133","01-06-2020 12:01:01:133"
"100134","EUR/USD","1.10134","1.20134","01-06-2020 12:01:01:134"
"100135","EUR/USD","1.10135","1.20135","01-06-2020 12:01:01:135"
"100136","EUR/USD","1.10136","1.20136","01-06-2020 12:01:01:136"
"100137","EUR/USD","1.10137","1.20137","01-06-2020 12:01:01:137"
"100138","EUR/USD","1.10138","1.20138","01-06-2020 12:01:01:138"
"100139","EUR/USD","1.10139","1.20139","01-06-2020 12:01:01:139"
"100140","EUR/USD","1.1014","1.2014","01-06-2020 12:01:01:140"
"100141","EUR/USD","1.10141","1.20141","01-06-2020 12:01:01:141"
"100142","EUR/USD","1.10142","1.20142","01-06-2020 12:01:01:142"
"100143","EUR/USD","1.10143","1.20143","01-06-2020 12:01:01:143"
"100144","EUR/USD","1.10144","1.20144","01-06-2020 12:01:01:144"
"100145","EUR/USD","1.10145","1.20145","01-06-2020 12:01:01:145"
"100146","EUR/USD","1.10146","1.20146","01-06-2020 12:01:01:146"
"100147","EUR/USD","1.10147","1.20147","01-06-2020 12:01:01:147"
"100148","EUR/USD","1.10148","1.20148","01-06-2020 12:01:01:148"
"100149","EUR/USD","1.10149","1.20149","01-06-2020 12:01:01:149"
"100150","EUR/USD","1.1015","1.2015","01-06-2020 12:01:01:150"
"100151","EUR/USD","1.10151","1.20151","01-06-2020 12:01:01:151"
"100152","EUR/USD","1.10152","1.20152","01-06-2020 12:01:01:152"
"100153","EUR/USD","1.10153","1.20153","01-06-2020 12:01:01:153"
"100154","EUR/USD","1.10154","1.20154","01-06-2020 12:01:01:154"
"100155","EUR/USD","1.10155","1.20155","01-06-2020 12:01:01:155"
"100156","EUR/USD","1.10156","1.20156","01-06-2020 12:01:01:156"
